,sen,sendel,oricat,verbs,storyid,sentencenum
0,Rob was at an atm to check his account balance.,Rob was at an atm to <VERB> his account balance . ,equal,check ,291fd3c8-ff37-45b8-b704-cd71bcd0240c,1
1,"One morning at work, Beth found a coworker sitting in her car crying.","One morning at work , Beth found a coworker sitting in her car <VERB> . ",equal,cry ,f4ecf8b2-8b4e-4a97-b6d8-f5977ff5fbd9,3
2,I was recently at a club and saw this attractive guy.,I was recently at a club and <VERB> this attractive guy . ,neg,see ,252d63e2-46e5-4559-9ceb-04af80934837,1
3,Nicole wanted a pet.,Nicole <VERB> a pet . ,neg,want ,78fe4caa-5a2f-4c54-98ea-6e674b3ca4e0,1
4,So I was quickly able to solve the issue.,So I was quickly able to <VERB> the issue . ,pos,solve ,afb78abe-869e-409e-9158-a4b148bf7797,5
5,I sat down to watch tv.,I <VERB> down to watch tv . ,neg,sit ,58a81225-c6b8-48a5-b0cd-70b6fe7fdbf6,2
6,She gave him a wrong number.,She <VERB> him a wrong number . ,pos,give ,9cea77d5-2017-4c74-9ace-976eb12f2466,5
7,Gina needed to research dolphins for an assignment.,Gina <VERB> to research dolphins for an assignment . ,neg,need ,9c0ebb40-aea9-4fb3-86b3-3f15e5ed7d36,2
8,"One day, she finally saw the sprout, the fruits of her hard work.","One day , she finally <VERB> the sprout , the fruits of her hard work . ",neg,see ,56abb8b1-da67-4ee8-a51e-2d79504f2e49,5
9,"As Sandy was leaving, Sandy saw Jim right by the door.","As Sandy was <VERB> , Sandy saw Jim right by the door . ",equal,leave ,665663fd-cd4a-40ec-8fab-391e5b703203,4
10,"However, she forgot some butter.","However , she <VERB> some butter . ",neg,forget ,02b67552-650b-44e4-b20a-b7fc525714c5,3
11,I really fantasized that I'd find a leprechaun in there.,I really fantasized that I 'd <VERB> a leprechaun in there . ,equal,find ,6643d2b6-2a18-4413-b5a5-bb9bad7ebd1f,2
12,Rick still looks the same.,Rick still <VERB> the same . ,equal,look ,df150420-396d-4658-91d4-db9ea7c2b665,5
13,Then her friend told her something else that solved her problem.,Then her friend told her something else that <VERB> her problem . ,pos,solve ,c27cbe16-fd65-4f52-abd4-887983d0ca11,4
14,Tom was struggling.,Tom was <VERB> . ,equal,struggle ,4a636bc3-8ce7-4ac5-8c14-895244150fec,3
15,Two friends went on a hike in the woods.,Two friends <VERB> on a hike in the woods . ,equal,go ,c3da1f2c-c964-4783-ab3d-d83119ca4636,1
16,"He set his GPS to the route, but the battery died part way through.","He set his GPS to the route , but the battery <VERB> part way through . ",neg,die ,87a19585-6615-4793-a63d-8363a482618d,2
17,My car began to swerve.,My car <VERB> to swerve . ,pos,begin ,720f8bc0-9607-4a5b-9efc-36d85c9a2b2a,2
18,The students then left after her and felt bad.,The students then left after her and <VERB> bad . ,equal,feel ,3b560d79-f6f0-4d49-9816-db195e096448,5
19,She locked him out of the house.,She <VERB> him out of the house . ,pos,lock ,f9e56a23-1cc0-4000-a35d-9de02c14147b,4
20,But he was soon found and arrested again.,But he was soon found and <VERB> again . ,pos,arrest ,3d58ef8a-f2bc-456c-9920-fd7a2345c913,4
21,He impressed the coaches at his school in tryouts.,He <VERB> the coaches at his school in tryouts . ,neg,impress ,797c89b2-1145-4697-8368-7702c73b7f1a,4
22,Each girl received a beautiful homemade bracelet from Anna!,Each girl <VERB> a beautiful homemade bracelet from Anna ! ,neg,receive ,57c1aaa0-770b-4054-94b1-eef3d84f1e78,5
23,"King was surprised, then realized the school was not a fancy one.","King was surprised , then <VERB> the school was not a fancy one . ",neg,realize ,6e498c32-abe5-46a4-87a8-04cbd99f8d41,5
24,This made her sick.,This <VERB> her sick . ,pos,make ,bde167b3-fcd9-4174-b2bd-d7e715fde2a5,4
25,Brody and his family went to a holiday party.,Brody and his family <VERB> to a holiday party . ,equal,go ,c13a6853-e9af-4fa8-a38e-888f8bcee9c8,2
26,"I tried to pay him for it, but he refused.","I tried to pay him for it , but he <VERB> . ",pos,refuse ,12981efa-e974-4783-9914-dac586a195d9,5
27,He focused on bettering his life.,He focused on <VERB> his life . ,pos,better ,20dbec3c-28f0-4522-9533-7368a6205de5,4
28,Gina and her husband now live in a completely purple house.,Gina and her husband now <VERB> in a completely purple house . ,equal,live ,11161351-f385-409e-af26-52665ad218da,5
29,The friend went online and got a license to wed the two.,The friend went online and <VERB> a license to we d the two . ,pos,get ,cb830d89-4b07-4cda-86fd-7ec9612c858a,3
30,It pulled on the leash so hard he lost his grip on it.,It pulled on the leash so hard he <VERB> his grip on it . ,equal,lose ,bddbb73a-4db4-4082-b375-e3054e1382dc,2
31,Firemen fought the fire for a long time.,Firemen <VERB> the fire for a long time . ,pos,fight ,bc7555e2-9f79-4574-9197-0b54fe48ce36,3
32,He looked for his Spiderman bowl but couldn't' find it.,He looked for his Spiderman bowl but could n't ' <VERB> it . ,equal,find ,a8dd2c4e-1bf5-439e-b327-30b687e75104,2
33,Eventually he found it.,Eventually he <VERB> it . ,equal,find ,7e1b8d14-3aaa-4982-8812-96202898c18d,5
34,He promised never to do something so deceitful again.,He promised never to <VERB> something so deceitful again . ,pos,do ,f95cf5f8-8263-4ef8-827d-06362ecd4673,5
