word,topic
algorithm,computers
analog,computers
app,computers
application,computers
array,computers
backup,computers
bandwidth,computers
binary,computers
bit,computers
bite,computers
blog,computers
blogger,computers
bookmark,computers
boot,computers
broadband,computers
browser,computers
buffer,computers
bug,computers
bus,computers
byte,computers
cache,computers
caps,computers
captcha,computers
CD,computers
client,computers
command,computers
compile,computers
compress,computers
computer,computers
configure,computers
cookie,computers
copy,computers
CPU,computers
dashboard,computers
data,computers
database,computers
debug,computers
delete,computers
desktop,computers
development,computers
digital,computers
disk,computers
document,computers
domain,computers
dot,computers
download,computers
drag,computers
dynamic,computers
email,computers
encrypt,computers
encryption,computers
enter,computers
FAQ,computers
file,computers
firewall,computers
firmware,computers
flaming,computers
flash,computers
folder,computers
font,computers
format,computers
frame,computers
graphics,computers
hack,computers
hacker,computers
hardware,computers
home,computers
host,computers
html,computers
icon,computers
inbox,computers
integer,computers
interface,computers
Internet,computers
IP,computers
iteration,computers
Java,computers
joystick,computers
kernel,computers
key,computers
keyboard,computers
keyword,computers
laptop,computers
link,computers
Linux,computers
logic,computers
login,computers
lurking,computers
Macintosh,computers
macro,computers
malware,computers
media,computers
memory,computers
mirror,computers
modem,computers
monitor,computers
motherboard,computers
mouse,computers
multimedia,computers
net,computers
network,computers
node,computers
offline,computers
online,computers
OS,computers
option,computers
output,computers
page,computers
password,computers
paste,computers
path,computers
piracy,computers
pirate,computers
platform,computers
podcast,computers
portal,computers
print,computers
printer,computers
privacy,computers
process,computers
program,computers
programmer,computers
protocol,computers
RAM,computers
reboot,computers
resolution,computers
restore,computers
ROM,computers
root,computers
router,computers
runtime,computers
save,computers
scan,computers
scanner,computers
screen,computers
screenshot,computers
script,computers
scroll,computers
security,computers
server,computers
shell,computers
shift,computers
snapshot,computers
software,computers
spam,computers
spreadsheet,computers
storage,computers
surf,computers
syntax,computers
table,computers
tag,computers
template,computers
thread,computers
toolbar,computers
trash,computers
undo,computers
Unix,computers
upload,computers
URL,computers
user,computers
UI,computers
username,computers
utility,computers
version,computers
virtual,computers
virus,computers
web,computers
website,computers
widget,computers
wiki,computers
window,computers
Windows,computers
wireless,computers
worm,computers
XML,computers
Zip,computers
affidavit,legal
allegation,legal
appeal,legal
appearance,legal
argument,legal
arrest,legal
assault,legal
attorney,legal
bail,legal
bankrupt,legal
bankruptcy,legal
bar,legal
bench,legal
warrant,legal
bond,legal
booking,legal
capital,legal
crime,legal
case,legal
chambers,legal
claim,legal
complainant,legal
complaint,legal
confess,legal
confession,legal
constitution,legal
constitutional,legal
contract,legal
counsel,legal
court,legal
custody,legal
damages,legal
decree,legal
defendant,legal
defense,legal
deposition,legal
discovery,legal
equity,legal
estate,legal
ethics,legal
evidence,legal
examination,legal
family,legal
law,legal
felony,legal
file,legal
fraud,legal
grievance,legal
guardian,legal
guilty,legal
hearing,legal
